Designation,Class,ba/t,h/w,Dead Load (kN/m),Area (mmý),Ix (10^6 mm?),Sx (10^3 mm?),rx (mm),Zx (10^3 mm?),Iy (10^6 mm?),Sy (10^3 mm?),ry (mm),Zy (10^3 mm?),J (10^3 mm?),Cw (10^9 mm?),Nominal Mass (kg/m),Theoretical Mass (kg/m),Depth d (mm),Flange Width b (mm),Flange Thickness t (mm),Web Thickness w (mm),Distance a (mm),Distance T (mm),Distance k (mm),Distance k? (mm),d-2t (mm),Surface Area Total (mý/m),Surface Area Minus Top Flange (mý/m),Imperial Designation
W530x332,1,3.54,19.8,3.25,42300,2480,8350,242,9660,254,1580,77.6,2440,22600,19,113,113,463,280,17.3,10.8,135,385,39,26,428,2.02,1.74,W18x76
W530x300,1,3.65,21.7,2.94,38200,2210,7550,241,8670,225,1410,76.7,2180,17000,16.6,106,105.7,469,194,20.6,12.6,91,391,39,23,428,1.69,1.49,W18x71
W530x272,1,4.22,23.8,2.66,34600,1970,6820,239,7780,200,1260,76.1,1950,12800,14.6,97,96.5,466,193,19,11.4,91,391,38,23,428,1.68,1.49,W18x65
W530x248,1,4.57,26.4,2.42,31500,1770,6220,238,7060,180,1140,75.7,1760,9770,13,89,89.3,463,192,17.7,10.5,91,391,36,22,428,1.67,1.48,W18x60
W530x219,1,5.45,27.4,2.15,27900,1510,5390,233,6110,157,986,75,1520,6420,11,82,81.9,460,191,16,9.9,91,391,35,22,428,1.66,1.47,W18x55
W530x196,1,6.01,30.4,1.93,25000,1340,4840,231,5460,139,877,74.4,1350,4700,9.64,74,74.2,457,190,14.5,9,91,391,33,22,428,1.66,1.47,W18x50
W530x182,1,6.45,33,1.78,23200,1240,4480,231,5040,127,808,74.2,1240,3740,8.82,68,68.5,459,154,15.4,9.1,72,391,34,22,428,1.52,1.36,W18x46
W530x165,1,7.05,35.8,1.62,21100,1110,4060,230,4550,114,726,73.4,1110,2830,7.79,60,59.5,455,153,13.3,8,73,391,32,21,428,1.51,1.35,W18x40
W530x150,1,7.68,39.6,1.48,19200,1010,3710,229,4150,103,659,73.2,1010,2160,7.03,52,52,450,152,10.8,7.6,72,391,29,21,428,1.49,1.34,W18x35
W530x138,1,4.53,34.1,1.36,17600,861,3140,221,3610,38.7,362,46.9,569,2500,2.67,149,149.3,431,265,25,14.9,125,337,47,28,381,1.89,1.63,W16x100
W530x123,1,5,38.3,1.21,15700,761,2800,220,3210,33.8,319,46.4,499,1800,2.31,132,132.1,425,263,22.2,13.3,125,337,44,27,381,1.88,1.61,W16x89
W530x109,1,5.61,43.2,1.07,13900,667,2480,219,2830,29.5,280,46.1,437,1260,2,114,114.5,420,261,19.3,11.6,125,338,41,26,381,1.86,1.6,W16x77
