Designation,Dead Load kN/m,Area mm²,Ix 10? mm?,Sx 10³ mm³,rx mm,Zx 10³ mm³,Iy 10? mm?,Sy 10³ mm³,ry mm,Zy 10³ mm³,J 10³ mm?,Cw 10? mm?,Nominal Mass kg/m,Theoretical Mass kg/m,Depth d mm,Flange Width b mm,Flange Thickness t mm,Web Thickness w mm,a mm,T mm,k mm,k1 mm,d-2t mm,Surface Area Total m²/m,Surface Area Minus Top Flange m²/m,Imperial Designation
W360x347,3.4,44200,1250,6140,168,7140,481,2380,104,3630,24800,15900,347,346.9,407,404,43.7,27.2,188,257,75,44,320,2.38,1.97,W14x233
W360x314,3.07,40000,1100,5530,166,6370,426,2120,103,3240,18500,13800,314,313.3,399,401,39.6,24.9,188,257,71,42,320,2.35,1.95,W14x211
W360x287,2.82,36600,997,5070,165,5810,388,1880,103,2960,14500,12300,287,287.5,393,399,36.6,22.6,188,257,68,41,320,2.34,1.94,W14x193
W360x262,2.58,33400,894,4620,163,5260,350,1660,102,2680,11300,11000,262,262.7,387,398,33.3,21.1,188,257,65,41,320,2.32,1.93,W14x176
W360x237,2.32,30100,788,4150,162,4690,310,1490,101,2390,8180,9500,237,236.2,380,395,30.2,18.9,188,257,62,39,320,2.3,1.91,W14x159
W360x216,2.12,27500,711,3840,161,4260,283,1360,101,2180,6320,8520,216,216.3,375,394,27.7,17.3,188,257,59,39,320,2.29,1.9,W14x145
W360x196,1.93,25000,636,3420,159,3840,252,1220,100,1860,5130,6830,196,196.5,372,374,26.2,16.4,179,257,58,38,320,2.21,1.83,W14x132
W360x179,1.76,22800,574,3110,159,3480,231,1110,101,1680,3910,6120,179,179.2,368,373,23.9,15,179,257,55,38,320,2.2,1.83,W14x120
W360x162,1.59,20600,515,2830,158,3140,211,1000,101,1520,2940,5430,162,161.9,364,371,21.8,13.3,179,257,53,38,320,2.19,1.81,W14x109
W360x147,1.45,18800,463,2570,157,2840,190,904,101,1370,2230,4840,147,147.5,360,370,19.8,12.3,179,257,51,38,320,2.18,1.81,W14x99
