province,location,elev_m,jan_2_5_C,jan_1_C,jul_2_5_dry_C,jul_2_5_wet_C,degree_days_below_18,rain_15min_mm,one_day_rain_1_50_mm,annual_rain_mm,moisture_index,ann_total_ppn_mm,driving_rain_pressure_Pa,Ss_kPa,Sr_kPa,q_1_10_kPa,q_1_50_kPa,name_ok
Alberta,Turner Valley,1215,-31,-32,28,17,5220,20,97,350,0.5,600,180,1.4,0.1,0.52,0.65,True
Alberta,Valleyview,700,-37,-40,27,18,5600,18,86,360,0.5,490,80,2.3,0.1,0.34,0.42,True
Alberta,Vegreville,635,-34,-37,29,19,5780,18,86,325,0.5,410,100,1.9,0.1,0.29,0.36,True
Alberta,Vermilion,580,-35,-38,29,19,5740,18,86,310,0.5,410,100,1.7,0.1,0.29,0.36,True
Alberta,Wagner,585,-35,-38,26,19,5850,15,81,380,0.6,500,80,1.9,0.1,0.28,0.37,True
Alberta,Wainwright,675,-33,-36,29,19,5700,20,81,310,0.5,425,120,2.0,0.1,0.29,0.36,True
Alberta,Wetaskiwin,760,-33,-35,29,19,5500,23,86,400,0.6,500,160,2.0,0.1,0.31,0.39,True
Alberta,Whitecourt,690,-33,-36,27,19,5650,20,97,440,0.6,550,80,1.9,0.1,0.28,0.37,True
Alberta,Wimborne,975,-31,-34,29,18,5310,23,92,325,0.5,450,200,1.6,0.1,0.32,0.4,True
Saskatchewan,Assiniboia,740,-32,-34,31,21,5180,25,81,290,0.3,375,240,1.6,0.1,0.39,0.49,True
Saskatchewan,Battrum,700,-32,-34,32,20,5080,23,81,270,0.4,350,260,1.2,0.1,0.43,0.54,True
Saskatchewan,Biggar,645,-34,-36,30,20,5720,23,81,270,0.4,350,180,2.1,0.1,0.36,0.45,True
Saskatchewan,Broadview,600,-34,-35,30,21,5760,25,103,320,0.5,420,160,1.7,0.1,0.36,0.46,True
Saskatchewan,Dafoe,530,-35,-37,29,21,5860,20,92,300,0.5,380,140,1.7,0.1,0.29,0.37,True
Saskatchewan,Dundurn,525,-35,-37,30,21,5600,23,86,275,0.4,380,180,1.5,0.1,0.36,0.46,True
Saskatchewan,Estevan,565,-32,-34,32,22,5340,28,92,330,0.4,420,200,1.6,0.1,0.41,0.52,True
Saskatchewan,Hudson Bay,370,-36,-38,29,21,6280,20,81,340,0.6,450,80,2.0,0.1,0.29,0.37,True
Saskatchewan,Humboldt,565,-36,-38,28,21,6000,20,86,320,0.5,375,140,2.1,0.1,0.31,0.39,True
Saskatchewan,Island Falls,305,-39,-41,27,20,7100,18,76,370,0.6,510,80,2.1,0.1,0.26,0.35,True
Saskatchewan,Kamsack,455,-34,-37,29,22,6040,20,97,360,0.6,450,120,2.1,0.2,0.32,0.4,True
Saskatchewan,Kindersley,685,-33,-35,31,20,5550,23,81,260,0.4,325,200,1.4,0.1,0.36,0.46,True
Saskatchewan,Lloydminster,645,-34,-37,28,20,5880,18,81,310,0.5,430,120,2.0,0.1,0.32,0.4,True
Saskatchewan,Maple Creek,765,-31,-34,31,20,4780,25,81,275,0.3,380,220,1.2,0.1,0.36,0.45,True
Saskatchewan,Meadow Lake,480,-38,-40,28,20,6280,18,81,320,0.5,450,120,1.7,0.1,0.3,0.4,True
Saskatchewan,Melfort,455,-36,-38,28,21,6050,20,81,310,0.5,410,120,2.1,0.1,0.28,0.36,True
Saskatchewan,Melville,550,-34,-36,29,21,5880,23,97,340,0.5,410,160,1.7,0.1,0.32,0.4,True
Saskatchewan,Moose Jaw,545,-32,-34,31,21,5270,25,86,270,0.3,360,200,1.4,0.1,0.41,0.52,True
Saskatchewan,Nipawin,365,-37,-39,28,21,6300,20,76,340,0.6,450,100,2.0,0.1,0.3,0.38,True
Saskatchewan,North Battleford,545,-34,-36,29,20,5900,20,81,280,0.5,370,120,1.7,0.1,0.36,0.46,True
Saskatchewan,Prince Albert,435,-37,-40,28,21,6100,20,81,320,0.5,410,140,1.9,0.1,0.3,0.38,True
